Source;Target
70142384;81108694
70142384;81312532
70142384;70142382
70142384;81441828
70142384;81019909
70142384;81228402
70142384;70153388
70142384;70217931
70142384;81109061
70142384;81341222
70142384;81512574
70142384;81425251
70142384;81417684
70142384;81383117
70142384;70234677
70142384;81456532
70142405;81346307
70142405;80147919
70142405;80075820
70142405;70177034
70142405;80225085
70142405;81628818
70142405;80007757
70142405;80075595
70142405;70028883
70142405;81616116
70142405;80003196
70142405;81026767
70142405;80103408
70142405;60020686
70142405;60031264
70142405;70297439
70142405;80179762
70142405;60023642
70142405;80071348
70142405;81026605
70142405;81475311
70142405;81193140
70142405;80244283
70142405;70298991
70142405;70252973
70142405;80039394
70142405;80167821
70142413;70153373
70142413;81060174
70142413;80106743
70142413;81619082
70142413;70218756
70142413;80174687
70142413;907090
70142413;80133549
70142413;80225917
70142413;70136120
70142413;81497886
70142413;81228515
70142413;80167499
70142413;80014749
70142413;81078615
70142413;81457341
70142413;81045453
70142413;80216224
70142413;70171942
70142413;70155589
70142413;70111504
70142413;80189653
70142413;70281562
70143440;70167070
70143440;70153373
70143440;70113002
70143440;81034553
70143440;81404276
70143440;70208247
70143440;70171942
70143440;70220030
70143440;80178974
70143440;70155589
70143440;80199682
70143440;70136120
70143440;81067223
70143440;81510180
70143440;70281562
70143440;80014749
70143830;70153373
70143830;81435370
70143830;81030627
70143830;80209013
70143830;81468289
70143830;80158515
70143830;70195800
70143830;81275653
70143830;81327503
70143830;81288370
70143830;81165134
70143830;70136120
70143830;80095532
70143830;70077514
70143830;81047664
70143830;70155618
70143830;80014749
70143830;70153404
70143830;70270408
70143830;70172485
70143830;81186971
70143830;80174285
70143830;70155589
70143830;70281562
70143830;81270678
70143830;81021929
70143836;80185171
70143836;70281312
70143836;70236561
70143836;80115328
70153373;81516751
70153373;80209013
70153373;81619082
70153373;81468289
70153373;70195800
70153373;81327503
70153373;70143830
70153373;81288370
70153373;70136120
70153373;80095532
70153373;80027158
70153373;80025384
70153373;81500842
70153373;81047664
70153373;70155618
70153373;80014749
70153373;70153404
70153373;70270408
70153373;70113002
70153373;70171942
70153373;384406
70153373;70155589
70153373;70281562
70153373;81270678
70153373;81021929
70153388;81312532
70153388;81038987
70153388;81228402
70153388;81109061
70153388;70217931
70153388;81341222
70153388;81512574
70153388;81417684
70153388;81666400
70153388;81175724
70153388;81666490
70153388;70142384
70153388;81456532
70153404;70153373
70153404;81435370
70153404;81088495
70153404;81468289
70153404;70195800
70153404;81275653
70153404;81327503
70153404;70143830
70153404;81288370
70153404;81018383
70153404;70136120
70153404;81290742
70153404;70077514
70153404;80095532
70153404;80027158
70153404;70155618
70153404;80014749
70153404;60034587
70153404;70270408
70153404;70167075
70153404;81041317
70153404;384406
70153404;70155589
70153404;70281562
70153404;81270678
70153404;81021929
70155579;70002007
70155579;70252898
70155579;70011204
70155579;60034572
70155579;70294800
70155579;81628818
70155579;70267728
70155579;81145135
70155579;81186615
70155579;80049870
70155579;81312563
70155579;80103408
70155579;81068804
70155579;60020686
70155579;70180088
70155579;60031264
70155579;70142405
70155579;80001803
70155579;81475311
70155579;80219119
70155579;80057134
70155579;81186971
70155579;70252973
70155579;80179782
70155589;70153373
70155589;81030627
70155589;81516751
70155589;80209013
70155589;81468289
70155589;80211384
70155589;70195800
70155589;81327503
70155589;70143830
70155589;81288370
70155589;70136120
70155589;80095532
70155589;80027158
70155589;81214194
70155589;80025384
70155589;70208247
70155589;81500842
70155589;81047664
70155589;70155618
70155589;80014749
70155589;70153404
70155589;70270408
70155589;81193104
70155589;70113002
70155589;70171942
70155589;70281562
70155589;81270678
70155589;81021929
70155618;81127150
70155618;70195800
70155618;70143830
70155618;80169498
70155618;80036416
70155618;70136120
70155618;80111373
70155618;70077514
70155618;80027158
70155618;80024057
70155618;70140438
70155618;81249731
70155618;70153404
70155618;70270408
70155618;81140933
70155618;60034573
70155618;384406
70155618;80176893
70155618;80241181
70155618;70281562
70158329;81030627
70158329;60024918
70158329;81057361
70158329;70251536
70158329;80017529
70158329;70305903
70158329;70020509
70158329;70283264
70158329;81194641
70158329;60022974
70158329;70217910
70158329;60023071
70158329;80066080
70158329;80014749
70158329;80170280
70158329;80027042
70158329;80185760
70158329;60001650
70158329;81094067
70158329;70108779
70158329;81186862
70158329;80133543
70158329;81249833
70158331;80171099
70158331;70177057
70158331;60024918
70158331;70251536
70158331;80017529
70158331;70305903
70158331;70283264
70158331;80187362
70158331;80134431
70158331;60023071
70158331;80066080
70158331;60028308
70158331;80065386
70158331;80014749
70158331;80170280
70158331;80027042
70158331;80185760
70158331;81094067
70158331;80133543
70158331;81249833
70171942;81053303
70171942;80987903
70171942;70056430
70171942;81080959
70171942;70195800
70171942;70143830
70171942;81165134
70171942;81091393
70171942;70136120
70171942;80103408
70171942;81214194
70171942;80241499
70171942;80189631
70171942;70142405
70171942;80014749
70171942;70153404
70171942;80235932
70171942;70288408
70171942;80174479
70171942;70155589
70171942;81067223
70171942;70281562
70171942;81249833
70171946;81459281
70171946;80202258
70171946;80201590
70171946;80036416
70171946;80111373
70171946;81562449
70171946;81408600
70171946;80995799
70171946;80075010
70171946;70213223
70171946;18962448
70171946;70155618
70171946;81051688
70171946;70281312
70171946;81140933
70171946;80241181
70171946;80176893
70171946;81612863
70171946;80036407
70172485;80201035
70172485;80020037
70172485;70294800
70172485;70180051
70172485;80238106
70172485;81186615
70172485;81616116
70172485;80058852
70172485;81011712
70172485;70197459
70172485;80103408
70172485;80027564
70172485;80230534
70172485;80095435
