Id;Label;Genres;Netflix_original;Nombre_occurrence
80095815;Santa Clarita Diet;Séries comiques,Séries US,Séries d'épouvante;True;1
80096545;Roman Empire;Séries dramatiques,Documentaires historiques,Séries documentaires,Docus société et culture,Séries US;True;1
80097140;Altered Carbon;Séries SF,Séries inspirées de livres,Séries d'action et d'aventure,Séries policières,Séries US;True;3
80097141;Godless;Séries dramatiques,Séries US;True;1
80099656;Frontier;Séries dramatiques,Canadien,Séries d'action et d'aventure,Films d'époque;True;1
80100172;Dark;Allemand,Séries SF,Séries d'intrigue,Séries policières,Thrillers TV;True;2
80100929;Les Demoiselles du téléphone;Séries dramatiques romantiques,Séries dramatiques,Espagnol,Films d'époque;True;14
80103417;Toi, moi et elle;Séries comiques,Séries comiques romantiques,Séries US;True;2
80104198;Perdus dans l'espace;Séries pour la famille à voir ensemble,Séries d'action et d'aventure,Séries US;True;4
80106743;Kevin Hart: What Now?;Stand-up;True;1
80107989;La colline aux lapins;Séries dramatiques,Séries pour la famille à voir ensemble,Britannique,Séries inspirées de livres,Séries d'action et d'aventure;True;1
80108495;Glitch;Australien,Séries d'intrigue,Séries d'épouvante;True;1
80113612;Fauda;Israélien,Séries d'action et d'aventure,Thrillers TV;True;1
80113647;Designated Survivor;Séries politiques,Séries US,Thrillers TV;True;4
80113701;The Good Place;Sitcoms,Séries comiques,Séries US;True;3
80114804;Cosmos Laundromat: First Cycle;Néerlandais,Films d'animation;False;1
80114988;GLOW;Séries comiques,Séries US;True;2
80115328;Le Seigneur de Bombay;Indien,Séries inspirées de livres,Séries d'intrigue,Séries policières,Thrillers TV;True;1
80116922;Inside the World’s Toughest Prisons;Britannique,Séries documentaires;True;1
80117038;Big Mouth;Sitcoms,Séries comiques,Séries US;True;3
80117470;13 Reasons Why;Séries dramatiques,Séries inspirées de livres,Séries pour ados,Séries d'intrigue,Séries US;True;5
80117552;Ozark;Séries US,Thrillers TV;True;4
80117555;Seven Seconds;Séries dramatiques,Séries policières,Séries US,Séries dramatiques sociales;True;2
80117803;Comment élever un super-héros;Pour enfants,Séries pour la famille à voir ensemble,Séries inspirées de B.D.;True;2
80117809;On My Block;Séries pour ados,Séries comiques,Séries comiques romantiques,Séries US;True;2
80119234;Bright;Films policiers,Policiers d'action,Films d'action;True;1
80119411;Captive;Séries dramatiques,Canadien,Séries inspirées de livres,Films d'époque;True;1
