Source;Target
70300800;80987903
70300800;81304528
70300800;81214194
70300800;80995819
70300800;80117038
70300800;80191522
70300800;81008138
70300800;70140358
70301585;60011152
70301585;80118916
70301585;80191608
70301585;70266110
70301585;80240371
70301585;81320168
70301585;81041495
70301585;80178280
70301585;80041653
70301585;60022974
70301585;81186240
70301585;81603987
70301585;81260280
70301585;80170278
70301585;80146804
70301585;80230399
70301585;81576597
70301585;60011663
70301585;81166149
70301585;81557402
70301585;81256747
70301585;80220426
70301585;81166791
70301585;81453541
70301585;80210920
70301585;80241318
70302482;80211136
70302482;81476183
70302482;80212986
70302482;70178217
70302482;81233755
70302482;81397077
70302482;81277858
70302482;81414644
70302482;81417796
70302482;81043833
70302482;81304948
70302482;81495803
70302482;81410976
70302482;80185171
70302482;80113647
70302482;80235864
70302482;81152788
70302482;81039388
70302482;81394937
70302482;81332635
70302482;81011098
70302482;81580045
70302482;80210920
70302482;80241318
70302482;81288983
70305883;80190859
70305883;80212986
70305883;80990771
70305883;81397077
70305883;80014727
70305883;81460361
70305883;81603987
70305883;80074249
70305883;81149450
70305883;80211648
70305883;80002479
70305883;60011663
70305883;80099656
70305883;80182016
70305883;81557402
70305883;80161728
70305883;70111323
70305883;81024039
70305883;80017529
70305883;80237990
70305883;80096545
70305883;70056440
70305883;80175352
70305883;80241318
70305883;80189685
80000770;81380540
80000770;81512108
80000770;81031682
80000770;81231181
80000770;81396979
80000770;81555750
80000770;81288561
80000770;81026055
80000770;81405883
80000770;81436777
80000770;81519789
80000770;80217818
80000770;81264650
80000770;81130130
80000770;80161702
80000770;81298614
80000770;80158319
80000770;81173345
80000770;81212487
80000770;80194956
80000770;81300060
80000770;81580822
80000770;80233441
80000770;80202283
80000770;80226612
80000770;81227743
80002479;60011152
80002479;80234304
80002479;81476183
80002479;60029681
80002479;80217669
80002479;81397077
80002479;81603987
80002479;81260280
80002479;80997085
80002479;80074249
80002479;328438
80002479;81149450
80002479;80175798
80002479;80021955
80002479;80235864
80002479;80114855
80002479;60011663
80002479;80025172
80002479;81092221
80002479;80117552
80002479;80057918
80002479;80017529
80002479;80994082
80002479;81557402
80002479;80241318
80002479;80189685
80008187;81516751
80008187;80197526
80008187;80998491
80008187;80212986
80008187;81025696
80008187;81445999
80008187;80113701
80008187;81447461
80008187;81148358
80008187;81037371
80008187;81580024
80008187;80198991
80008187;80987458
80008187;80117540
80008187;70304246
80008187;80168189
80008187;80041601
80008187;80017537
80008187;80241545
80008187;81004814
80008187;80241248
80008187;81406669
80008187;81047751
80008187;80179190
80008187;80233611
80008187;80238565
80008434;80154610
80008434;80180171
80008434;81237994
80008434;80208806
80008434;70060006
80008434;81240831
80008434;80236118
80008434;81046394
80008434;81003028
80008434;81186049
80008434;81061734
80008434;80996532
80008434;80198988
80008434;81198998
80008434;81021447
80008434;80197462
80008434;81195027
80008434;80119177
80008434;80057281
80008434;80213226
80008434;80161216
80008434;70123711
80008434;80177458
80008434;80121349
80008434;80135414
80008434;80241318
80010655;81396545
80010655;80212986
80010655;80211991
80010655;81233755
80010655;81332052
80010655;81397077
80010655;81045829
80010655;81603987
80010655;81417796
80010655;81304948
80010655;81495803
80010655;81303831
80010655;81157207
80010655;81450827
80010655;80021955
80010655;80210920
80010655;80241318
80010655;80113647
80010655;81015514
80010655;80114855
80010655;80117552
80010655;81481808
80010655;81557402
80010655;70178217
80010655;81288983
80010655;80200549
80017537;81324724
80017537;80201680
80017537;81476183
80017537;80212986
80017537;81025696
80017537;80025678
80017537;81281864
80017537;80223040
80017537;80239866
80017537;81397077
80017537;80113701
80017537;80240027
80017537;81037371
80017537;80104068
80017537;80198991
80017537;80994340
80017537;81045831
80017537;80109415
80017537;81500842
80017537;80177342
80017537;80219707
80017537;80232398
80017537;81580045
80017537;81406669
80017537;80241318
80017537;81288983
80019503;70242311
80019503;81092963
80019503;80028732
80019503;80095697
80019503;81245457
80019503;81067223
80019503;80113701
80019503;81259476
80019503;80198137
80019503;81080959
80019503;81053303
80019503;80198991
80019503;80175722
80019503;80235932
80019503;80177342
80019503;80987903
80019503;81304528
80019503;81214194
80019503;81228573
80019503;80995819
80019503;80117038
80019503;80191522
80019503;81008138
80019503;80179190
80019503;70140358
80021955;60011152
80021955;80101899
80021955;60029681
80021955;70178217
80021955;80211991
80021955;81397077
80021955;81447461
80021955;81603987
80021955;80997085
80021955;81260280
80021955;80175798
80021955;81303831
80021955;70189289
80021955;80002479
80021955;80994340
80021955;81157207
80021955;80113647
80021955;80114855
80021955;60011663
80021955;80025172
80021955;80117552
80021955;70264888
80021955;18907685
80021955;80241318
80021955;81288983
80025172;60011152
80025172;60029681
80025172;80217669
80025172;81233755
80025172;81397077
80025172;70241340
80025172;81603987
80025172;81343748
80025172;80002479
80025172;81450827
80025172;80021955
80025172;81078819
80025172;80114855
80025172;60011663
80025172;80133042
80025172;80192187
80025172;80117552
80025172;80121192
80025172;81025403
80025172;80994082
80025172;80218448
80025172;81175433
80025172;81557402
80025172;80192098
80025172;80241318
80025384;81324724
80025384;80095815
80025384;70140358
80025384;80212986
80025384;81025696
80025384;80095532
80025384;80113701
80025384;80179905
80025384;80198991
80025384;81327503
80025384;80066227
80025384;81500842
80025384;80177342
80025384;80117540
80025384;81047664
80025384;81214194
80025384;81288370
80025384;80158516
80025384;80017537
80025384;81630704
80025384;81021929
80025384;81468289
80025384;81406669
80025384;80179190
80025384;80238565
80025601;81001036
80025601;80211686
80025601;81368729
80025601;80212986
80025601;80244479
80025601;60020749
80025601;80217669
80025601;80097391
80025601;80216302
80025601;80117809
80025601;81121351
80025601;80182014
80025601;80095698
80025601;81053303
80025601;80226923
80025601;328438
80025601;80096984
80025601;81282563
80025601;80208802
80025601;80002479
80025601;80177416
80025601;80171733
80025601;81455921
80025601;81203364
80025601;81100780
80025601;80236318
80025678;81324724
80025678;80234304
80025678;81476183
80025678;80212986
80025678;81277950
80025678;81476441
80025678;81603987
80025678;81037371
80025678;80136311
80025678;81498384
80025678;70270877
80025678;81354529
80025678;80211648
80025678;80002479
80025678;80994340
80025678;81406219
80025678;60011663
80025678;70135893
80025678;81222923
80025678;70285581
80025678;80232398
80025678;80119411
80025678;80210920
80025678;80241318
80025678;81288983
