Id;Label;Genres;Netflix_original;Nombre_occurrence
70033005;Matilda;Films pour la famille,Films jeunesse et famille,Comédies,Films inspirés de livres;False;3
70041961;Mission: Impossible III;Films d'espionnage,Films d'action;False;1
70044379;Inside Man;Films policiers,Policiers d'action,Films d'action;False;1
70044605;À la recherche du bonheur;Drames,Films inspirés de faits réels,Drames sociaux,Drames primés;False;3
70047101;Spider-Man 3;Films SF,Films d'action;False;1
70056430;Shooter, tireur d'élite;Intrigues,Films inspirés de livres,Films d'action;False;3
70060015;Je suis une légende;Films SF,Films inspirés de livres,Films d'action;False;1
70079583;The Dark Knight : le chevalier noir;Films d'action;False;5
70106454;Ponyo sur la falaise;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;2
70108779;2012;Films SF,Films d'action;False;4
70113002;Very Bad Trip;Comédies;False;2
70113007;Tempête de boulettes géantes;Films pour la famille,Films jeunesse et famille,Comédies,Films inspirés de livres,Films d'animation;False;1
70114497;Des mains en or;Drames,Films inspirés de faits réels,Drames sociaux,Drames primés;False;1
70119811;The Blind Side;Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;3
70123711;Paul;Films SF,Britannique,Comédies;False;1
70125931;Karaté Kid;Films pour la famille,Films jeunesse et famille,Drames pour la famille,Films sur les arts martiaux;False;3
70132721;The Social Network;Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;1
70135893;Le Discours d’un roi;Britannique,Drames,Films inspirés de faits réels,Drames primés;False;1
70136120;The Office (US);Sitcoms,Séries comiques,Séries US;False;4
70136140;Star Trek;Séries pour la famille à voir ensemble,Séries d'action et d'aventure,Séries US;False;2
70140358;Arrested Development;Sitcoms,Séries comiques,Séries US;True;1
70140438;Skins;Séries dramatiques,Britannique,Séries pour ados;False;1
70142384;The Hills;Séries pour ados,Téléréalité,Séries US,Style de vie;False;1
70142405;Avatar : Le dernier maître de l’air;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries fantastiques;False;5
70142413;Chappelle's Show;Séries comiques,Séries US;False;1
70143830;The Big Bang Theory;Sitcoms,Séries comiques,Séries US;False;4
70143836;Breaking Bad;Séries US,Thrillers TV;False;7
70144327;Les Petits Mouchoirs;Français,Drames,Comédies;False;2
70153373;Seinfeld;Sitcoms,Séries comiques,Séries US;False;2
70153388;L'Incroyable Famille Kardashian;Téléréalité,Séries US;False;1
70153404;Friends;Sitcoms,Séries comiques,Séries US;False;7
70155589;Community;Sitcoms,Séries comiques,Séries US;False;2
70155618;Gilmore Girls;Séries pour ados,Séries comiques,Séries comiques romantiques,Séries US;False;3
70158329;Star Trek : la nouvelle génération;Séries SF,Séries d'action et d'aventure,Séries US;False;2
70162962;S.W.A.T.: Firefight;Films policiers,Policiers d'action,Films d'action;False;1
70167068;Crazy, Stupid, Love.;Comédies romantiques,Drames,Comédies,Films romantiques;False;2
70171942;Archer;Sitcoms,Séries comiques,Séries d'action et d'aventure,Séries US;False;6
70173048;Mission: Impossible - Protocole Fantôme;Films d'espionnage,Films d'action;False;2
70177033;Winx Club;Pour enfants,Italien,Dessins animés;False;2
70177034;Yu-Gi-Oh!;Pour enfants,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;5
70177057;The Walking Dead;Séries d'action et d'aventure,Séries US,Séries d'épouvante,Séries inspirées de B.D.;False;6
70178621;Voyage au centre de la Terre 2 : l'île mystérieuse;Films pour la famille,Aventures en famille,Films inspirés de livres,Films d'action;False;3
70180051;H2O;Pour enfants,Séries pour la famille à voir ensemble,Australien;False;5
70180088;Garfield & Cie;Pour enfants,Séries comiques,Dessins animés,Séries inspirées de B.D.;False;2
70187741;RuPaul's Drag Race;Téléréalité avec concours,Téléréalité,Séries US;True;1
70195800;Suits : avocats sur mesure;Séries judiciaires,Séries comiques,Séries US;False;3
